Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
CL318,C285716,V285716,10000,2025-04-14,1
CL319,C703886,V703886,10000,2025-09-14,1
CL320,C889566,V889566,10000,2025-11-21,1
CL321,C599211,V599211,10000,2025-08-07,1
CL322,C850523,V850523,10000,2025-11-07,1
CL323,C685708,V685708,10000,2025-09-07,1
CL324,C515930,V515930,10000,2025-07-07,1
CL325,C953131,V953131,10000,2025-12-14,1
CL326,C75887,V75887,10000,2025-01-27,1
CL327,C490597,V490597,10000,2025-06-28,1
CL328,C285043,V285043,10000,2025-04-14,1
CL329,C347361,V347361,10000,2025-05-07,1
CL330,C366302,V366302,10000,2025-05-14,1
CL331,C907238,V907238,10000,2025-11-28,1
CL332,C704310,V704310,10000,2025-09-14,1
CL333,C850655,V850655,10000,2025-11-07,1
CL334,C386901,V386901,10000,2025-05-21,1
CL335,C322648,V322648,10000,2025-04-28,1
CL336,C805263,V805263,10000,2025-10-21,1
CL337,C75632,V75632,10000,2025-01-27,1
CL338,C972613,V972613,10000,2025-12-21,1
CL339,C972316,V972316,10000,2025-12-21,1
CL340,C200629,V200629,10000,2025-03-14,1
CL341,C304248,V304248,10000,2025-04-21,1
CL342,C824630,V824630,10000,2025-10-28,1
CL343,C908691,V908691,10000,2025-11-28,1
CL344,C239440,V239440,10000,2025-03-28,1
CL345,C120632,V120632,10000,2025-02-13,1
CL346,C618995,V618995,10000,2025-08-14,1
CL347,C103233,V103233,10000,2025-02-06,1
CL348,C471174,V471174,10000,2025-06-21,1
CL349,C199596,V199596,10000,2025-03-14,1
CL350,C534330,V534330,10000,2025-07-14,1
CL351,C489286,V489286,10000,2025-06-28,1
CL352,C722698,V722698,10000,2025-09-21,1
CL353,C181233,V181233,10000,2025-03-07,1
CL354,C990956,V990956,10000,2025-12-28,1
CL355,C804178,V804178,10000,2025-10-21,1
CL356,C742799,V742799,10000,2025-09-28,1
CL357,C239472,V239472,10000,2025-03-28,1
CL358,C267241,V267241,10000,2025-04-07,1
CL359,C139565,V139565,10000,2025-02-20,1
CL360,C888503,V888503,10000,2025-11-21,1
CL361,C535242,V535242,10000,2025-07-14,1
CL362,C685473,V685473,10000,2025-09-07,1
CL363,C17575,V17575,10000,2025-01-06,1
CL364,C489503,V489503,10000,2025-06-28,1
CL365,C158558,V158558,10000,2025-02-27,1
CL366,C367978,V367978,10000,2025-05-14,1
CL367,C516428,V516428,10000,2025-07-07,1
CL368,C767494,V767494,10000,2025-10-07,1
CL369,C286902,V286902,10000,2025-04-14,1
CL370,C741663,V741663,10000,2025-09-28,1
CL371,C599618,V599618,10000,2025-08-07,1
CL372,C471003,V471003,10000,2025-06-21,1
CL373,C637071,V637071,10000,2025-08-21,1
CL374,C553333,V553333,10000,2025-07-21,1
CL375,C122121,V122121,10000,2025-02-13,1
CL376,C534509,V534509,10000,2025-07-14,1
CL377,C367307,V367307,10000,2025-05-14,1
CL378,C683156,V683156,10000,2025-09-07,1
CL379,C286878,V286878,10000,2025-04-14,1
CL380,C140689,V140689,10000,2025-02-20,1
CL381,C852015,V852015,10000,2025-11-07,1
CL382,C265104,V265104,10000,2025-04-07,1
CL383,C451909,V451909,10000,2025-06-14,1
CL384,C804097,V804097,10000,2025-10-21,1
CL385,C741508,V741508,10000,2025-09-28,1
CL386,C160708,V160708,10000,2025-02-27,1
CL387,C786670,V786670,10000,2025-10-14,1
CL388,C554343,V554343,10000,2025-07-21,1
CL389,C160530,V160530,10000,2025-02-27,1
CL390,C571201,V571201,10000,2025-07-28,1
CL391,C122788,V122788,10000,2025-02-13,1
CL392,C514035,V514035,10000,2025-07-07,1
CL393,C638602,V638602,10000,2025-08-21,1
CL394,C347303,V347303,10000,2025-05-07,1
CL395,C432552,V432552,10000,2025-06-07,1
CL396,C452472,V452472,10000,2025-06-14,1
CL397,C219206,V219206,10000,2025-03-21,1
CL398,C35629,V35629,10000,2025-01-13,1
CL399,C74156,V74156,10000,2025-01-27,1
CL400,C285182,V285182,10000,2025-04-14,1
CL401,C600316,V600316,10000,2025-08-07,1
CL402,C572031,V572031,10000,2025-07-28,1
CL403,C432586,V432586,10000,2025-06-07,1
CL404,C804908,V804908,10000,2025-10-21,1
CL405,C142004,V142004,10000,2025-02-20,1
CL406,C971815,V971815,10000,2025-12-21,1
CL407,C703883,V703883,10000,2025-09-14,1
CL408,C406801,V406801,10000,2025-05-28,1
CL409,C656392,V656392,10000,2025-08-28,1
CL410,C452252,V452252,10000,2025-06-14,1
CL411,C516146,V516146,10000,2025-07-07,1
CL412,C405136,V405136,10000,2025-05-28,1
CL413,C515699,V515699,10000,2025-07-07,1
CL414,C219870,V219870,10000,2025-03-21,1
CL415,C220060,V220060,10000,2025-03-21,1
CL416,C285294,V285294,10000,2025-04-14,1
CL417,C75047,V75047,10000,2025-01-27,1
CL418,C723608,V723608,10000,2025-09-21,1
CL419,C266761,V266761,10000,2025-04-07,1
CL420,C385787,V385787,10000,2025-05-21,1
CL421,C182311,V182311,10000,2025-03-07,1
CL422,C951323,V951323,10000,2025-12-14,1
CL423,C284816,V284816,10000,2025-04-14,1
CL424,C951288,V951288,10000,2025-12-14,1
CL425,C267329,V267329,10000,2025-04-07,1
CL426,C121245,V121245,10000,2025-02-13,1
CL427,C183086,V183086,10000,2025-03-07,1
CL428,C571451,V571451,10000,2025-07-28,1
CL429,C219454,V219454,10000,2025-03-21,1
CL430,C767453,V767453,10000,2025-10-07,1
CL431,C823043,V823043,10000,2025-10-28,1
CL432,C600695,V600695,10000,2025-08-07,1
CL433,C18055,V18055,10000,2025-01-06,1
CL434,C385604,V385604,10000,2025-05-21,1
CL435,C824192,V824192,10000,2025-10-28,1
CL436,C471223,V471223,10000,2025-06-21,1
CL437,C515347,V515347,10000,2025-07-07,1
CL438,C703379,V703379,10000,2025-09-14,1
CL439,C703891,V703891,10000,2025-09-14,1
CL440,C850950,V850950,10000,2025-11-07,1
CL441,C18531,V18531,10000,2025-01-06,1
CL442,C704128,V704128,10000,2025-09-14,1
CL443,C37736,V37736,10000,2025-01-13,1
CL444,C325096,V325096,10000,2025-04-28,1
CL445,C598767,V598767,10000,2025-08-07,1
CL446,C472194,V472194,10000,2025-06-21,1
CL447,C406069,V406069,10000,2025-05-28,1
CL448,C851146,V851146,10000,2025-11-07,1
CL449,C265622,V265622,10000,2025-04-07,1
CL450,C471246,V471246,10000,2025-06-21,1
CL451,C784662,V784662,10000,2025-10-14,1
CL452,C638798,V638798,10000,2025-08-21,1
CL453,C322496,V322496,10000,2025-04-28,1
CL454,C908845,V908845,10000,2025-11-28,1
CL455,C387917,V387917,10000,2025-05-21,1
CL456,C140255,V140255,10000,2025-02-20,1
CL457,C598730,V598730,10000,2025-08-07,1
CL458,C140325,V140325,10000,2025-02-20,1
CL459,C75049,V75049,10000,2025-01-27,1
CL460,C103714,V103714,10000,2025-02-06,1
CL461,C908094,V908094,10000,2025-11-28,1
CL462,C931894,V931894,10000,2025-12-07,1
CL463,C989602,V989602,10000,2025-12-28,1
CL464,C722348,V722348,10000,2025-09-21,1
CL465,C515668,V515668,10000,2025-07-07,1
CL466,C347643,V347643,10000,2025-05-07,1
CL467,C432116,V432116,10000,2025-06-07,1
CL468,C433498,V433498,10000,2025-06-07,1
CL469,C824936,V824936,10000,2025-10-28,1
CL470,C571207,V571207,10000,2025-07-28,1
CL471,C472354,V472354,10000,2025-06-21,1
CL472,C572438,V572438,10000,2025-07-28,1
CL473,C741180,V741180,10000,2025-09-28,1
CL474,C515530,V515530,10000,2025-07-07,1
CL475,C850715,V850715,10000,2025-11-07,1
CL476,C637899,V637899,10000,2025-08-21,1
CL477,C160499,V160499,10000,2025-02-27,1
CL478,C702779,V702779,10000,2025-09-14,1
CL479,C406629,V406629,10000,2025-05-28,1
CL480,C74042,V74042,10000,2025-01-27,1
CL481,C240258,V240258,10000,2025-03-28,1
CL482,C386476,V386476,10000,2025-05-21,1
CL483,C535517,V535517,10000,2025-07-14,1
CL484,C491478,V491478,10000,2025-06-28,1
CL485,C306060,V306060,10000,2025-04-21,1
CL486,C704694,V704694,10000,2025-09-14,1
CL487,C220945,V220945,10000,2025-03-21,1
CL488,C121934,V121934,10000,2025-02-13,1
CL489,C805964,V805964,10000,2025-10-21,1
CL490,C472098,V472098,10000,2025-06-21,1
CL491,C656957,V656957,10000,2025-08-28,1
CL492,C160948,V160948,10000,2025-02-27,1
CL493,C952760,V952760,10000,2025-12-14,1
CL494,C766898,V766898,10000,2025-10-07,1
CL495,C17031,V17031,10000,2025-01-06,1
CL496,C73823,V73823,10000,2025-01-27,1
CL497,C822534,V822534,10000,2025-10-28,1
CL498,C908415,V908415,10000,2025-11-28,1
CL499,C75659,V75659,10000,2025-01-27,1
CL500,C323692,V323692,10000,2025-04-28,1
CL501,C971547,V971547,10000,2025-12-21,1
CL502,C348397,V348397,10000,2025-05-07,1
CL503,C490645,V490645,10000,2025-06-28,1
CL504,C871182,V871182,10000,2025-11-14,1
CL505,C951554,V951554,10000,2025-12-14,1
CL506,C433938,V433938,10000,2025-06-07,1
CL507,C599101,V599101,10000,2025-08-07,1
CL508,C889830,V889830,10000,2025-11-21,1
CL509,C721589,V721589,10000,2025-09-21,1
CL510,C221342,V221342,10000,2025-03-21,1
CL511,C571614,V571614,10000,2025-07-28,1
CL512,C37365,V37365,10000,2025-01-13,1
CL513,C367797,V367797,10000,2025-05-14,1
CL514,C805561,V805561,10000,2025-10-21,1
CL515,C121026,V121026,10000,2025-02-13,1
CL516,C55426,V55426,10000,2025-01-20,1
CL517,C432441,V432441,10000,2025-06-07,1
CL518,C237896,V237896,10000,2025-03-28,1
CL519,C532894,V532894,10000,2025-07-14,1
CL520,C286146,V286146,10000,2025-04-14,1
CL521,C889224,V889224,10000,2025-11-21,1
CL522,C766516,V766516,10000,2025-10-07,1
CL523,C822713,V822713,10000,2025-10-28,1
CL524,C266331,V266331,10000,2025-04-07,1
CL525,C218660,V218660,10000,2025-03-21,1
CL526,C890288,V890288,10000,2025-11-21,1
CL527,C122833,V122833,10000,2025-02-13,1
CL528,C824653,V824653,10000,2025-10-28,1
CL529,C852300,V852300,10000,2025-11-07,1
CL530,C513997,V513997,10000,2025-07-07,1
CL531,C516342,V516342,10000,2025-07-07,1
CL532,C552098,V552098,10000,2025-07-21,1
CL533,C990506,V990506,10000,2025-12-28,1
CL534,C238715,V238715,10000,2025-03-28,1
CL535,C239842,V239842,10000,2025-03-28,1
CL536,C849878,V849878,10000,2025-11-07,1
CL537,C103428,V103428,10000,2025-02-06,1
CL538,C322504,V322504,10000,2025-04-28,1
CL539,C322659,V322659,10000,2025-04-28,1
CL540,C638092,V638092,10000,2025-08-21,1
CL541,C742036,V742036,10000,2025-09-28,1
CL542,C16585,V16585,10000,2025-01-06,1
CL543,C325118,V325118,10000,2025-04-28,1
CL544,C451603,V451603,10000,2025-06-14,1
CL545,C347984,V347984,10000,2025-05-07,1
CL546,C386257,V386257,10000,2025-05-21,1
CL547,C387267,V387267,10000,2025-05-21,1
CL548,C102738,V102738,10000,2025-02-06,1
CL549,C990460,V990460,10000,2025-12-28,1
CL550,C141102,V141102,10000,2025-02-20,1
CL551,C349736,V349736,10000,2025-05-07,1
CL552,C324605,V324605,10000,2025-04-28,1
CL553,C870997,V870997,10000,2025-11-14,1
CL554,C600723,V600723,10000,2025-08-07,1
CL555,C102729,V102729,10000,2025-02-06,1
CL556,C180597,V180597,10000,2025-03-07,1
CL557,C953260,V953260,10000,2025-12-14,1
CL558,C658362,V658362,10000,2025-08-28,1
CL559,C514942,V514942,10000,2025-07-07,1
CL560,C515859,V515859,10000,2025-07-07,1
CL561,C516141,V516141,10000,2025-07-07,1
CL562,C851665,V851665,10000,2025-11-07,1
CL563,C35615,V35615,10000,2025-01-13,1
CL564,C870644,V870644,10000,2025-11-14,1
CL565,C599389,V599389,10000,2025-08-07,1
CL566,C347694,V347694,10000,2025-05-07,1
CL567,C850393,V850393,10000,2025-11-07,1
CL568,C766571,V766571,10000,2025-10-07,1
CL569,C265279,V265279,10000,2025-04-07,1
CL570,C869546,V869546,10000,2025-11-14,1
CL571,C160737,V160737,10000,2025-02-27,1
CL572,C767215,V767215,10000,2025-10-07,1
CL573,C991273,V991273,10000,2025-12-28,1
CL574,C803579,V803579,10000,2025-10-21,1
CL575,C220919,V220919,10000,2025-03-21,1
CL576,C285966,V285966,10000,2025-04-14,1
CL577,C265954,V265954,10000,2025-04-07,1
CL578,C741380,V741380,10000,2025-09-28,1
CL579,C619800,V619800,10000,2025-08-14,1
